Name of File;Source;Year of Production;Name;Resposible
1503_Toshenko;OralHistory;;;Наумов Александр;
1503_Toshenko;OralHistory;;;Наумов Александр;
1504_Derviz;OralHistory;;;Наумов Александр;
1504_Derviz;OralHistory;;;Наумов Александр;
1506_Agadjanyan;OralHistory;1956;Agadzhanyan;Наумов Александр;
1506_Agadjanyan;OralHistory;;;Наумов Александр;
1508_Polyakov;OralHistory;;;Наумов Александр;
1508_Polyakov;OralHistory;;;Наумов Александр;
1513_Rubakov;OralHistory;;;Наумов Александр;
1514_Viharev;OralHistory;;;Наумов Александр;
1516_Nikonov;OralHistory;;;Наумов Александр;
1516_Nikonov;OralHistory;;;Наумов Александр;
1517_Nikonov;OralHistory;;;Наумов Александр;
1517_Nikonov;OralHistory;1939;Nikonov;Наумов Александр;
1518_Volosenkov;OralHistory;2013;Volosenkov;Наумов Александр;
1523_Lunin;OralHistory;;;Наумов Александр;
1523_Lunin;OralHistory;;;Наумов Александр;
1525_Kuzyakov;OralHistory;;;Наумов Александр;
1525_Kuzyakov;OralHistory;1953;Kuzyakov;Наумов Александр;
1532_Boult;OralHistory;1968;BoultMisleit;Наумов Александр;
1532_Boult;OralHistory;;;Наумов Александр;
1533_Shlezinger;OralHistory;1929;Shlezinger;Наумов Александр;
1534_Shlezinger;OralHistory;2012;Shlezingered;Наумов Александр;
1534_Shlezinger;OralHistory;1948;Shlezinger;Наумов Александр;
1536_Lyapunova;OralHistory;;;Наумов Александр;
1536_Lyapunova;OralHistory;;;Наумов Александр;
1538_Shelkovskiy;OralHistory;;;Наумов Александр;
1538_Shelkovskiy;OralHistory;;;Наумов Александр;
1540_Bush;OralHistory;;;Наумов Александр;
1540_Bush;OralHistory;;;Наумов Александр;
1541_Shelkovskiy;OralHistory;1956;Shelkovsky;Наумов Александр;
1541_Shelkovskiy;OralHistory;1905;Shelkovsky;Наумов Александр;
1546_Romanovskiy;OralHistory;1953;Romanovsky;Наумов Александр;
1546_Romanovskiy;OralHistory;1908;Romanovsky;Наумов Александр;
1548_Romanovskiy;OralHistory;2012;Romanovskyfin;Наумов Александр;
1549_Anderson;OralHistory;;;Наумов Александр;
1550_Shelkovskiy;OralHistory;;;Наумов Александр;
1550_Shelkovskiy;OralHistory;2013;Shelkovsky;Наумов Александр;
1551_Bush;OralHistory;;;Наумов Александр;
1551_Bush;OralHistory;;;Наумов Александр;
1554_Rodoman;OralHistory;1930;Rodomanend;Наумов Александр;
1556_Rimashevskaya;OralHistory;;;Наумов Александр;
1557_Pantin;OralHistory;1947;Pantin;Наумов Александр;
1558_Dmitriev;OralHistory;2013;Dmitriev;Наумов Александр;
1559_Lektorskiy;OralHistory;1955;Lektorsky;Наумов Александр;
1561_Rodoman;OralHistory;2013;Rodoman;Наумов Александр;
1561_Rodoman;OralHistory;1934;Rodoman;Наумов Александр;
1565_Belousov;OralHistory;;;Наумов Александр;
1565_Belousov;OralHistory;;;Наумов Александр;
1567_Ratner;OralHistory;;;Наумов Александр;
1567_Ratner;OralHistory;1990;Ratner;Наумов Александр;
1571_Shelkovskiy;OralHistory;;;Наумов Александр;
1575_Lektorskiy;OralHistory;;;Наумов Александр;
1576_Shihobalov;OralHistory;1986;Shihobalov;Наумов Александр;
1577_Rodoman;OralHistory;1943;Rodomanchek;Наумов Александр;
1577_Rodoman;OralHistory;2013;Rodoman;Наумов Александр;
1578_Rodoman;OralHistory;1950;Rodomanchek;Наумов Александр;
1578_Rodoman;OralHistory;1948;Rodoman;Наумов Александр;
1579_Belousov;OralHistory;;;Наумов Александр;
1579_Belousov;OralHistory;1954;Belousov;Наумов Александр;
1583_Sitko;OralHistory;;;Наумов Александр;
1583_Sitko;OralHistory;1989;Sitkofin;Наумов Александр;
1586_Kozlovskiy;OralHistory;;;Наумов Александр;
1588_Kozirev;OralHistory;;;Наумов Александр;
1589_Subbotin;OralHistory;1938;Subbotin;Наумов Александр;
1589_Subbotin;OralHistory;;;Наумов Александр;
1591_Guseynov;OralHistory;;;Наумов Александр;
1593_Baturin;OralHistory;2013;Baturin;Наумов Александр;
1593_Baturin;OralHistory;;;Наумов Александр;
1594_Golitsyn;OralHistory;2013;Golitsyn;Наумов Александр;
1594_Golitsyn;OralHistory;;;Наумов Александр;
1596_bogdanov;OralHistory;1941;Bogdanov;Наумов Александр;
1598_Baturin;OralHistory;;;Наумов Александр;
1598_Baturin;OralHistory;1967;Baturinfin;Наумов Александр;
1599_Florensky;OralHistory;1936;Florensky;Наумов Александр;
1599_Florensky;OralHistory;;;Наумов Александр;
1601_Tabulinskiy;OralHistory;2013;Tabulinsky;Наумов Александр;
1601_Tabulinskiy;OralHistory;1975;Tabulinsky;Наумов Александр;
1604_Avtonomova;OralHistory;;;Наумов Александр;
1606_Dubrovskiy;OralHistory;2013;Dubrovsky;Наумов Александр;
1609_Guseynov;OralHistory;1971;Guseinov;Наумов Александр;
1610_Dubrovskiy;OralHistory;1970;Dubrovskiyfin;Наумов Александр;
1611_Semenov;OralHistory;;;Наумов Александр;
1612_Gref;OralHistory;;;Наумов Александр;
1612_Gref;OralHistory;2013;Gref;Наумов Александр;
1613_Kapustin;OralHistory;1985;Kapustin;Наумов Александр;
1618_Zelinskaya;OralHistory;1957;Zelinskayaed;Наумов Александр;
1618_Zelinskaya;OralHistory;;;Наумов Александр;
1621_Stepanjants;OralHistory;2012;Stepanjants;Наумов Александр;
1621_Stepanjants;OralHistory;2012;Stepanjants;Наумов Александр;
1624_Voizehovskiy;OralHistory;;;Наумов Александр;
1624_Voizehovskiy;OralHistory;2013;Voizehovskyfin;Наумов Александр;
1625_Kochergina;OralHistory;2013;Kocherginaed;Наумов Александр;
1625_Kochergina;OralHistory;2013;Kochergina;Наумов Александр;
1629_Motroshilova;OralHistory;1964;Motroshilova;Наумов Александр;
1632_Rodoman;OralHistory;2013;Rodomanchek;Наумов Александр;
1632_Rodoman;OralHistory;;;Наумов Александр;
1633_Rodoman;OralHistory;2013;Rodomaned;Наумов Александр;
1633_Rodoman;OralHistory;2013;Rodomaned;Наумов Александр;
1640_Hmelevskoj;OralHistory;2013;Hmelevskojed;Наумов Александр;
1640_Hmelevskoj;OralHistory;2013;Hmelevskoj;Наумов Александр;
1646_Koronovskiy;OralHistory;1992;Koronovskyed;Наумов Александр;
1646_Koronovskiy;OralHistory;;;Наумов Александр;
1650_Zhuhovitskiy;OralHistory;;;Наумов Александр;
1650_Zhuhovitskiy;OralHistory;1924;Zhuhovitsky;Наумов Александр;
1651_Zhuhoviyskiy;OralHistory;;;Наумов Александр;
1659_Danilov-Danilyan;OralHistory;;;Наумов Александр;
1659_Danilov-Danilyan;OralHistory;2003;DanilovDanilian;Наумов Александр;
1660_Guseinov;OralHistory;2013;Guseinov;Наумов Александр;
1664_Selvinskaya;OralHistory;;;Наумов Александр;
1664_Selvinskaya;OralHistory;;;Наумов Александр;
1667_Selvinskaya;OralHistory;;;Наумов Александр;
1667_Selvinskaya;OralHistory;;;Наумов Александр;
1670_Golitcina;OralHistory;;;Наумов Александр;
1670_Golitcina;OralHistory;;;Наумов Александр;
1675_Poze;OralHistory;;;Наумов Александр;
1675_Poze;OralHistory;;;Наумов Александр;
1677_Messerer;OralHistory;;;Наумов Александр;
1677_Messerer;OralHistory;1957;Messerer;Наумов Александр;
1681_Levitskaya;OralHistory;2014;Levitskayaed;Наумов Александр;
1681_Levitskaya;OralHistory;;;Наумов Александр;
1684_Levitskaya;OralHistory;;;Наумов Александр;
1684_Levitskaya;OralHistory;2014;Levitskaya;Наумов Александр;
1687_Levitskaya;OralHistory;;;Наумов Александр;
1687_Levitskaya;OralHistory;;;Наумов Александр;
1692_Chukovskaya;OralHistory;;;Наумов Александр;
1692_Chukovskaya;OralHistory;1940;Chukovskaya;Наумов Александр;
1702_Bragina;OralHistory;1959;Bragina;Наумов Александр;
1702_Bragina;OralHistory;2014;Bragina;Наумов Александр;
1705_Bragina;OralHistory;2014;braginaed;Наумов Александр;
1705_Bragina;OralHistory;2014;bragina;Наумов Александр;
